Overhead,Command,Object,Symbol,Layer,Layer2,Layer3
0.26%,Tpool0_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC
0.26%,TASK_GTPV1_U,[kernel.kallsyms],__check_object_size,NG,PDCP,
0.25%,TASK_GTPV1_U,[kernel.kallsyms],mutex_lock,NG,PDCP,
0.25%,TASK_GTPV1_U,[kernel.kallsyms],check_preempt_curr,NG,PDCP,
0.24%,TASK_GTPV1_U,[kernel.kallsyms],update_load_avg,NG,PDCP,
0.24%,Tpool0_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,
0.23%,TASK_GTPV1_U,[kernel.kallsyms],ep_send_events_proc,NG,PDCP,
0.23%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_unlock_irqrestore,NG,PDCP,
0.23%,TASK_GTPV1_U,[unknown],0xfffffe000003701b,NG,PDCP,
0.23%,Tpool2_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC
0.23%,Tpool0_-1,libldpc.so,ldpc384_byte,PHY,HIGH PHY,LDPC
0.21%,RLC,queue,[k],RLC,,
0.21%,TASK_GTPV1_U,[kernel.kallsyms],__fget,NG,PDCP,
0.21%,TASK_GTPV1_U,libpthread-2.27.so,__pthread_disable_asynccancel,NG,PDCP,
0.20%,TASK_GTPV1_U,nr-softmodem,gtpv1uReceiver,NG,PDCP,
0.20%,RLC,queue,[k],RLC,,
0.20%,RLC,queue,[.],RLC,,
0.19%,Tpool2_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC
0.18%,TASK_GTPV1_U,[kernel.kallsyms],idle_cpu,NG,PDCP,
0.18%,TASK_GTPV1_U,[kernel.kallsyms],__rcu_read_unlock,NG,PDCP,
0.18%,TASK_GTPV1_U,[kernel.kallsyms],native_sched_clock,NG,PDCP,
0.17%,TASK_GTPV1_U,[kernel.kallsyms],mutex_unlock,NG,PDCP,
0.17%,RLC,queue,[.],RLC,,
0.17%,TASK_GTPV1_U,[kernel.kallsyms],try_to_wake_up,NG,PDCP,
0.17%,thread_FH,libdfts.so,dft1024,PHY,LOW PHY,
0.17%,TASK_GTPV1_U,[kernel.kallsyms],__slab_free,NG,PDCP,
0.16%,Tpool2_-1,nr-softmodem,nr_modulation,PHY,HIGH PHY,
0.16%,TASK_GTPV1_U,libc-2.27.so,__memmove_avx_unaligned_erms,NG,PDCP,
0.16%,thread_FH,libdfts.so,dft64,PHY,LOW PHY,
0.16%,TASK_GTPV1_U,[kernel.kallsyms],cpuacct_charge,NG,PDCP,
0.16%,Tpool3_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC
0.16%,RLC,queue,[k],RLC,,
0.15%,thread_FH,[kernel.kallsyms],skb_copy_datagram_iter,PHY,LOW PHY,
0.15%,TASK_GTPV1_U,[kernel.kallsyms],kfree,NG,PDCP,
0.15%,RLC,queue,[k],RLC,,
0.15%,thread_FH,libdfts.so,dft256,PHY,LOW PHY,
0.14%,Tpool1_-1,libldpc.so,nrLDPC_cnProc_BG1,PHY,HIGH PHY,LDPC
0.14%,Tpool1_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,
0.14%,feprx,libdfts.so,dft64,PHY,LOW PHY,
0.14%,TASK_GTPV1_U,[kernel.kallsyms],dequeue_rt_stack,NG,PDCP,
0.13%,TASK_GTPV1_U,[kernel.kallsyms],ttwu_do_activate,NG,PDCP,
0.13%,TASK_GTPV1_U,[kernel.kallsyms],inet_recvmsg,NG,PDCP,
0.13%,TASK_GTPV1_U,libc-2.27.so,__strchrnul_avx2,NG,PDCP,
0.13%,TASK_GTPV1_U,[unknown],0xfffffe000015d01b,NG,PDCP,
0.13%,thread_FH,[kernel.kallsyms],syscall_return_via_sysret,PHY,LOW PHY,
0.13%,TASK_GTPV1_U,[kernel.kallsyms],__perf_event_task_sched_in,NG,PDCP,
0.13%,Tpool2_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,
0.13%,TASK_GTPV1_U,[kernel.kallsyms],ep_poll,NG,PDCP,
0.13%,TASK_GTPV1_U,[kernel.kallsyms],move_addr_to_user,NG,PDCP,
0.12%,TASK_GTPV1_U,[kernel.kallsyms],__wake_up_common_lock,NG,PDCP,
0.12%,thread_FH,[kernel.kallsyms],__tcp_transmit_skb,PHY,LOW PHY,
0.12%,thread_FH,[kernel.kallsyms],skb_release_data,PHY,LOW PHY,
0.12%,RLC,queue,[k],RLC,,
0.12%,TASK_GTPV1_U,[kernel.kallsyms],udp_recvmsg,NG,PDCP,
0.12%,RLC,queue,[.],RLC,,
0.11%,TASK_GTPV1_U,libc-2.27.so,_int_malloc,NG,PDCP,
0.11%,RLC,queue,[k],RLC,,
0.11%,TASK_GTPV1_U,[kernel.kallsyms],enqueue_task_rt,NG,PDCP,
0.11%,TASK_GTPV1_U,[kernel.kallsyms],queue_work_on,NG,PDCP,
0.11%,TASK_GTPV1_U,libc-2.27.so,epoll_wait,NG,PDCP,
0.11%,Tpool3_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC
0.11%,TASK_GTPV1_U,libc-2.27.so,_IO_setb,NG,PDCP,
0.11%,thread_FH,libdfts.so,dft2048,PHY,LOW PHY,
0.11%,TASK_GTPV1_U,[kernel.kallsyms],first_packet_length,NG,PDCP,
0.11%,Tpool2_-1,libldpc.so,nrLDPC_cnProc_BG1,PHY,HIGH PHY,LDPC
0.11%,TASK_GTPV1_U,libpthread-2.27.so,pthread_cond_signal@@GLIBC_2.3.2,NG,PDCP,
0.10%,RLC,queue,[k],RLC,,
0.10%,TASK_GTPV1_U,[unknown],0xfffffe00000fb01b,NG,PDCP,
0.10%,TASK_GTPV1_U,[kernel.kallsyms],put_prev_task_rt,NG,PDCP,
0.10%,TASK_GTPV1_U,[kernel.kallsyms],ttwu_do_wakeup,NG,PDCP,
0.10%,Tpool2_-1,libldpc.so,nrLDPC_decoder_core.isra.1,PHY,HIGH PHY,LDPC
0.10%,TASK_GTPV1_U,libc-2.27.so,__strlen_avx2,NG,PDCP,
0.10%,RLC,queue,[k],RLC,,
0.10%,TASK_GTPV1_U,[kernel.kallsyms],aa_file_perm,NG,PDCP,
0.10%,TASK_GTPV1_U,[kernel.kallsyms],__first_packet_length,NG,PDCP,
0.10%,RLC,queue,[k],RLC,,
0.10%,Tpool2_-1,nr-softmodem,nr_codeword_scrambling,PHY,HIGH PHY,
0.10%,TASK_GTPV1_U,[kernel.kallsyms],sys_epoll_wait,NG,PDCP,
0.10%,TASK_GTPV1_U,[kernel.kallsyms],tty_ldisc_ref_wait,NG,PDCP,
0.10%,TASK_GTPV1_U,[kernel.kallsyms],udp_skb_destructor,NG,PDCP,
0.10%,TASK_GTPV1_U,[kernel.kallsyms],native_write_msr,NG,PDCP,
0.10%,TASK_GTPV1_U,[kernel.kallsyms],fput_many,NG,PDCP,
0.10%,TASK_GTPV1_U,[kernel.kallsyms],schedule,NG,PDCP,
0.09%,RLC,queue,[k],RLC,,
0.09%,TASK_GTPV1_U,[kernel.kallsyms],select_task_rq_rt,NG,PDCP,
0.09%,TASK_GTPV1_U,[kernel.kallsyms],cmpxchg_double_slab.isra.33,NG,PDCP,
0.09%,RLC,queue,[k],RLC,,
0.09%,RLC,queue,[k],RLC,,
0.09%,TASK_GTPV1_U,[kernel.kallsyms],tty_insert_flip_string_fixed_flag,NG,PDCP,
0.09%,TASK_GTPV1_U,[kernel.kallsyms],__fsnotify_parent,NG,PDCP,
0.09%,Tpool0_-1,nr-softmodem,nr_segmentation,PHY,HIGH PHY,
0.09%,RLC,queue,[k],RLC,,
0.09%,TASK_GTPV1_U,[kernel.kallsyms],__sched_text_start,NG,PDCP,
0.09%,Tpool3_-1,nr-softmodem,nr_segmentation,PHY,HIGH PHY,
0.09%,Tpool0_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,
0.09%,TASK_GTPV1_U,[kernel.kallsyms],copy_user_generic_unrolled,NG,PDCP,
0.08%,RLC,queue,[k],RLC,,
0.08%,RLC,queue,[k],RLC,,
0.08%,TASK_GTPV1_U,[kernel.kallsyms],__update_load_avg_se.isra.36,NG,PDCP,
0.08%,RLC,queue,[.],RLC,,
0.08%,TASK_GTPV1_U,[kernel.kallsyms],enqueue_task_fair,NG,PDCP,
0.08%,TASK_GTPV1_U,[kernel.kallsyms],__unqueue_futex,NG,PDCP,
0.08%,thread_FH,[kernel.kallsyms],cmpxchg_double_slab.isra.33,PHY,LOW PHY,
0.08%,TASK_GTPV1_U,libc-2.27.so,_IO_old_init,NG,PDCP,
0.08%,Tpool3_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,
0.08%,RLC,queue,[k],RLC,,
0.08%,TASK_GTPV1_U,[kernel.kallsyms],sockfd_lookup_light,NG,PDCP,
0.08%,TASK_GTPV1_U,nr-softmodem,logRecord_mt,NG,PDCP,
0.08%,Tpool3_-1,nr-softmodem,nr_modulation,PHY,HIGH PHY,
0.07%,Tpool3_-1,nr-softmodem,crc24b,PHY,HIGH PHY,
0.07%,TASK_GTPV1_U,[kernel.kallsyms],schedule_hrtimeout_range_clock,NG,PDCP,
0.07%,TASK_GTPV1_U,[kernel.kallsyms],update_curr_rt,NG,PDCP,
0.07%,RLC,queue,[k],RLC,,
0.07%,TASK_GTPV1_U,[unknown],0xfffffe00000ca01b,NG,PDCP,
0.07%,TASK_GTPV1_U,[kernel.kallsyms],copy_user_enhanced_fast_string,NG,PDCP,
0.07%,Tpool1_-1,nr-softmodem,nr_codeword_scrambling,PHY,HIGH PHY,
0.07%,Tpool0_-1,nr-softmodem,nr_codeword_scrambling,PHY,HIGH PHY,
0.07%,TASK_GTPV1_U,nr-softmodem,itti_get_events_locked,NG,PDCP,
0.07%,TASK_GTPV1_U,[kernel.kallsyms],get_futex_key,NG,PDCP,
0.07%,TASK_GTPV1_U,[kernel.kallsyms],futex_wake,NG,PDCP,
0.07%,TASK_GTPV1_U,[unknown],0xfffffe000009901b,NG,PDCP,
0.07%,TASK_GTPV1_U,[kernel.kallsyms],__fget_light,NG,PDCP,
0.07%,TASK_GTPV1_U,[kernel.kallsyms],__entry_trampoline_start,NG,PDCP,
0.07%,TASK_GTPV1_U,[kernel.kallsyms],pty_write_room,NG,PDCP,
0.07%,TASK_GTPV1_U,[kernel.kallsyms],skb_copy_datagram_iter,NG,PDCP,
0.07%,Tpool3_-1,libldpc.so,nrLDPC_cnProc_BG1,PHY,HIGH PHY,LDPC
0.07%,TASK_GTPV1_U,[kernel.kallsyms],activate_task,NG,PDCP,
0.07%,TASK_GTPV1_U,[kernel.kallsyms],enqueue_top_rt_rq,NG,PDCP,
0.07%,TASK_GTPV1_U,nr-softmodem,itti_get_events,NG,PDCP,
0.07%,thread_FH,[kernel.kallsyms],irq_work_run_list,PHY,LOW PHY,
0.07%,TASK_GTPV1_U,[kernel.kallsyms],dequeue_top_rt_rq,NG,PDCP,
0.06%,TASK_GTPV1_U,[unknown],0xfffffe00000fb01e,NG,PDCP,
0.06%,TASK_GTPV1_U,[kernel.kallsyms],tty_write,NG,PDCP,
0.06%,TASK_GTPV1_U,[kernel.kallsyms],sys_write,NG,PDCP,
0.06%,Tpool2_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,
0.06%,TASK_GTPV1_U,[kernel.kallsyms],__wake_up_common,NG,PDCP,
0.06%,RLC,queue,[k],RLC,,
0.06%,Tpool1_-1,nr-softmodem,gNB_I0_measurements,PHY,LOW PHY,
0.06%,Tpool2_-1,nr-softmodem,nr_segmentation,PHY,HIGH PHY,
0.06%,RLC,queue,[k],RLC,,
0.06%,TASK_GTPV1_U,[kernel.kallsyms],tty_write_unlock,NG,PDCP,
0.06%,Tpool1_-1,nr-softmodem,get_dmrs_freq_idx,PHY,LOW PHY,
0.06%,RLC,queue,[k],RLC,,
0.06%,TASK_GTPV1_U,[kernel.kallsyms],__queue_work,NG,PDCP,
0.06%,RLC,queue,[k],RLC,,
0.06%,TASK_GTPV1_U,[kernel.kallsyms],__sk_mem_reduce_allocated,NG,PDCP,
0.06%,Tpool3_-1,libldpc.so,nrLDPC_decoder_core.isra.1,PHY,HIGH PHY,LDPC
0.05%,TASK_GTPV1_U,[unknown],0xfffffe00000fb000,NG,PDCP,
0.05%,feptx,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe,PHY,LOW PHY,
0.05%,TASK_GTPV1_U,[kernel.kallsyms],ep_item_poll.isra.12,NG,PDCP,
0.05%,TASK_GTPV1_U,libc-2.27.so,__libc_disable_asynccancel,NG,PDCP,
0.05%,TASK_GTPV1_U,[kernel.kallsyms],copy_page_to_iter,NG,PDCP,
0.05%,TASK_GTPV1_U,[kernel.kallsyms],get_work_pool,NG,PDCP,
0.05%,thread_FH,[kernel.kallsyms],native_apic_msr_eoi_write,PHY,LOW PHY,
0.05%,TASK_GTPV1_U,libc-2.27.so,calloc@plt,NG,PDCP,
0.05%,Tpool1_-1,libldpc.so,nrLDPC_decoder_core.isra.1,PHY,HIGH PHY,LDPC
0.05%,TASK_GTPV1_U,[kernel.kallsyms],enqueue_entity,NG,PDCP,
0.05%,thread_FH,[kernel.kallsyms],ep_item_poll.isra.12,PHY,LOW PHY,
0.05%,TASK_GTPV1_U,[kernel.kallsyms],security_socket_recvmsg,NG,PDCP,
0.05%,TASK_GTPV1_U,[unknown],0xfffffe00000fb00c,NG,PDCP,
0.05%,TASK_GTPV1_U,[kernel.kallsyms],apparmor_file_permission,NG,PDCP,
0.05%,TASK_GTPV1_U,[unknown],0xfffffe000012c01b,NG,PDCP,
0.05%,thread_FH,[kernel.kallsyms],call_function_single_interrupt,PHY,LOW PHY,
0.05%,feptx,[kernel.kallsyms],syscall_return_via_sysret,PHY,LOW PHY,
0.05%,Tpool3_-1,nr-softmodem,nr_rate_matching_ldpc_rx,PHY,HIGH PHY,LDPC
0.05%,TASK_GTPV1_U,nr-softmodem,enqueue_rlc_data_req,NG,PDCP,
0.05%,TASK_GTPV1_U,[kernel.kallsyms],SYSC_recvfrom,NG,PDCP,
0.05%,Tpool3_-1,nr-softmodem,gNB_I0_measurements,PHY,LOW PHY,
0.05%,TASK_GTPV1_U,[kernel.kallsyms],rcu_note_context_switch,NG,PDCP,
0.05%,TASK_GTPV1_U,[kernel.kallsyms],entry_SYSCALL_64_stage2,NG,PDCP,
0.05%,TASK_GTPV1_U,[kernel.kallsyms],__perf_event_task_sched_out,NG,PDCP,
0.05%,Tpool0_-1,nr-softmodem,crc24b,PHY,HIGH PHY,
0.05%,Tpool0_-1,libldpc.so,nrLDPC_cnProc_BG1,PHY,HIGH PHY,LDPC
0.05%,feptx,[kernel.kallsyms],do_syscall_64,PHY,LOW PHY,
0.05%,thread_FH,[kernel.kallsyms],prepare_exit_to_usermode,PHY,LOW PHY,
0.05%,Tpool2_-1,libldpc.so,nrLDPC_bnProc,PHY,HIGH PHY,LDPC
0.05%,RLC,queue,[k],RLC,,
0.05%,TASK_GTPV1_U,[kernel.kallsyms],aa_sk_perm,NG,PDCP,
0.05%,feptx,[kernel.kallsyms],swapgs_restore_regs_and_return_to_usermode,PHY,LOW PHY,
0.05%,TASK_GTPV1_U,[kernel.kallsyms],tty_paranoia_check,NG,PDCP,
0.05%,TASK_GTPV1_U,[kernel.kallsyms],pick_next_task_rt,NG,PDCP,
0.04%,TASK_GTPV1_U,[kernel.kallsyms],cgroup_cpu_stat_account_end.isra.5,NG,PDCP,
0.04%,TASK_GTPV1_U,[kernel.kallsyms],tty_write_lock,NG,PDCP,
0.04%,pdcp_timer,libpthread-2.27.so,pthread_cond_wait@@GLIBC_2.3.2,PDCP,,
0.04%,TASK_GTPV1_U,[kernel.kallsyms],sock_poll,NG,PDCP,
0.04%,Tpool1_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,
0.04%,TASK_GTPV1_U,[kernel.kallsyms],do_output_char,NG,PDCP,
0.04%,TASK_GTPV1_U,[kernel.kallsyms],tty_buffer_space_avail,NG,PDCP,
0.04%,RLC,queue,[.],RLC,,
0.04%,RLC,queue,[.],RLC,,
0.04%,TASK_RRC_GNB,[kernel.kallsyms],pick_next_task_rt,RRC,,
0.04%,Tpool1_-1,nr-softmodem,signal_energy_nodc,PHY,,
0.04%,Tpool0_-1,nr-softmodem,nr_generate_dci,PHY,LOW PHY,
0.04%,TASK_GTPV1_U,[kernel.kallsyms],ctx_sched_out,NG,PDCP,
0.04%,TASK_GTPV1_U,[kernel.kallsyms],plist_del,NG,PDCP,
0.04%,RLC,queue,[.],RLC,,
0.04%,TASK_GTPV1_U,libc-2.27.so,_itoa_word,NG,PDCP,
0.04%,RLC,queue,[.],RLC,,
0.04%,thread_FH,[kernel.kallsyms],__slab_free,PHY,LOW PHY,
0.04%,TASK_GTPV1_U,[kernel.kallsyms],native_queued_spin_lock_slowpath,NG,PDCP,
0.04%,thread_FH,[kernel.kallsyms],kfree,PHY,LOW PHY,
0.04%,feptx,libdfts.so,idft64@plt,PHY,LOW PHY,
0.04%,thread_FH,[kernel.kallsyms],release_sock,PHY,LOW PHY,
0.04%,Tpool0_-1,nr-softmodem,ldpc8blocks,PHY,HIGH PHY,LDPC
0.04%,thread_FH,[kernel.kallsyms],mutex_lock,PHY,LOW PHY,
0.04%,thread_FH,[kernel.kallsyms],_raw_spin_lock_bh,PHY,LOW PHY,
0.04%,feprx,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LOW PHY,
0.04%,RLC,queue,[k],RLC,,
0.04%,thread_FH,libc-2.27.so,epoll_wait,PHY,LOW PHY,
0.03%,thread_FH,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LOW PHY,
0.03%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_unlock_bh,NG,PDCP,
0.03%,RLC,queue,[k],RLC,,
0.03%,thread_FH,[kernel.kallsyms],native_irq_return_iret,PHY,LOW PHY,
0.03%,Tpool0_-1,nr-softmodem,get_pdsch_to_harq_feedback,MAC,,
0.03%,RLC,queue,[k],RLC,,
0.03%,thread_FH,[kernel.kallsyms],__cgroup_account_cputime,PHY,LOW PHY,
0.03%,thread_FH,[kernel.kallsyms],sched_clock_cpu,PHY,LOW PHY,
0.03%,thread_FH,[kernel.kallsyms],flush_smp_call_function_queue,PHY,LOW PHY,
0.03%,Tpool2_-1,nr-softmodem,nr_rlc_entity_am_recv_pdu,RLC,,
0.03%,thread_FH,[kernel.kallsyms],__entry_trampoline_start,PHY,LOW PHY,
0.03%,thread_FH,[kernel.kallsyms],sys_futex,PHY,LOW PHY,
0.03%,Tpool3_-1,nr-softmodem,nr_pdcch_scrambling,PHY,,
0.03%,TASK_GTPV1_U,[kernel.kallsyms],remove_wait_queue,NG,PDCP,
0.03%,Tpool3_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,
0.03%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_unlock,NG,PDCP,
0.03%,RLC,queue,[.],RLC,,
0.03%,Tpool1_-1,libldpc.so,nrLDPC_bnProc,PHY,HIGH PHY,LDPC
0.03%,TASK_GTPV1_U,[kernel.kallsyms],cpupri_find,NG,PDCP,
0.03%,feptx,[kernel.kallsyms],dequeue_rt_stack,PHY,LOW PHY,
0.03%,TASK_GTPV1_U,libpthread-2.27.so,__pthread_enable_asynccancel,NG,PDCP,
0.03%,thread_FH,[kernel.kallsyms],irq_enter,PHY,LOW PHY,
0.03%,TASK_GTPV1_U,libc-2.27.so,_IO_str_init_static_internal,NG,PDCP,
0.03%,thread_FH,[kernel.kallsyms],tcp_options_write,PHY,LOW PHY,
0.03%,RLC,queue,[k],RLC,,
0.03%,thread_FH,[kernel.kallsyms],rcu_note_context_switch,PHY,LOW PHY,
0.03%,Tpool3_-1,nr-softmodem,nr_rlc_entity_am_generate_pdu,RLC,,
0.03%,TASK_GTPV1_U,[kernel.kallsyms],update_blocked_averages,NG,PDCP,
0.03%,thread_FH,[kernel.kallsyms],ep_poll_callback,PHY,LOW PHY,
0.03%,thread_FH,[kernel.kallsyms],copy_page_to_iter,PHY,LOW PHY,
0.03%,Tpool2_-1,nr-softmodem,nr_rate_matching_ldpc_rx,PHY,HIGH PHY,LDPC
0.03%,Tpool0_-1,libldpc.so,nrLDPC_bnProc,PHY,HIGH PHY,LDPC
0.03%,RLC,queue,[k],RLC,,
0.03%,TASK_GTPV1_U,[kernel.kallsyms],attach_entity_load_avg,NG,PDCP,
0.03%,Tpool1_-1,nr-softmodem,nr_ulsch_extract_rbs_single,PHY,???,
0.03%,thread_FH,[kernel.kallsyms],cpuacct_charge,PHY,LOW PHY,
0.03%,thread_FH,[kernel.kallsyms],cpupri_set,PHY,LOW PHY,
0.03%,TASK_GTPV1_U,[kernel.kallsyms],kfree_skbmem,NG,PDCP,
0.03%,feptx,libpthread-2.27.so,pthread_cond_wait@@GLIBC_2.3.2,PHY,LOW PHY,
0.03%,thread_FH,[kernel.kallsyms],tcp_queue_rcv,PHY,LOW PHY,
0.03%,Tpool2_-1,libldpc.so,nrLDPC_bnProcPc,PHY,HIGH PHY,LDPC
0.03%,TASK_GTPV1_U,[kernel.kallsyms],pick_next_task_fair,NG,PDCP,
0.03%,feptx,[kernel.kallsyms],sched_avg_update,PHY,LOW PHY,
0.03%,thread_FH,[kernel.kallsyms],x86_pmu_disable,PHY,LOW PHY,
0.03%,Tpool2_-1,nr-softmodem,nr_rlc_pdu_decoder_get_bits,RLC,,
0.03%,TASK_GTPV1_U,[unknown],0xfffffe000015d025,NG,PDCP,
0.03%,TASK_GTPV1_U,nr-softmodem,itti_receive_msg,NG,PDCP,
0.03%,RLC,queue,[k],RLC,,
0.03%,thread_FH,[unknown],0xfffffe00000ca01b,PHY,LOW PHY,
0.03%,TASK_GTPV1_U,libpthread-2.27.so,__libc_write,NG,PDCP,
0.03%,Tpool0_-1,nr-softmodem,nr_rlc_sdu_segment_list_add,RLC,,
0.03%,Tpool0_-1,nr-softmodem,crc24a,PHY,HIGH PHY,
0.03%,TASK_GTPV1_U,libc-2.27.so,_IO_vsnprintf,NG,PDCP,
0.03%,TASK_GTPV1_U,[kernel.kallsyms],update_cfs_rq_h_load,NG,PDCP,
0.03%,thread_FH,[kernel.kallsyms],sched_clock,PHY,LOW PHY,
0.03%,Tpool1_-1,nr-softmodem,nr_modulation,PHY,HIGH PHY,
